brand,name,processor,Ram,Ram_type,Storage,Storage_type,GPU,display_size,resolution_width,resolution_height,OS,Price
HP,Victus 15-fb0157AX Gaming Laptop,5th Gen AMD Ryzen 5 5600H,8,DDR4,512,SSD,AMD Radeon RX 6500M,15.6,1920,1080,Windows 11 OS,9381200
HP,15s-fq5007TU Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,7501200
Acer,One 14 Z8-415 Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,5074120
Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,12th Gen Intel Core i5 1240P,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,14,2240,1400,Windows 11 OS,11229052
Apple,MacBook Air 2020 MGND3HN Laptop,Apple M1,8,DDR4,256,SSD,Apple M1 Integrated Graphics,13.3,2560,1600,Mac OS,13158120
Acer,Extensa EX214-53 Laptop,12th Gen Intel Core i5 1240P,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,7518120
Dell,Inspiron 3520 D560896WIN9B Laptop,12th Gen Intel Core i3 1215U,8,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,6916520
Acer,Nitro V ANV15-51 2023 Gaming Laptop,13th Gen Intel Core i5 13420H,16,DDR5,512,SSD,NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,14474120
Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,12th Gen Intel Core i5 12500H,8,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,9210120
Samsung,Galaxy Book2 Pro 13 Laptop,12th Gen Intel Core i5 1240P,16,LPDDR5,512,SSD,Integrated Intel Iris Xe Graphics,13.3,1080,1920,Windows 11 OS,14098120
Lenovo,V15 G3 IAP 82TTA08AIN Laptop,12th Gen Intel Core i7 1255U,16,DDR4,512,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,9398120
Ultimus,Pro NU14U3INC43BN-CS Laptop,Intel Celeron  N4020,4,DDR4,128,SSD,Integrated Intel UHD Graphics,14.1,1366,768,Windows 11 OS,2066120
Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,12th Gen Intel Core i5 12500H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,13722120
Primebook,4G Android Laptop,MediaTek MTK8788,4,LPDDR4,64,HDD,ARM Mali G72,11.6,1366,768,Android 11 OS,2066120
Lenovo,V15 G4 ‎82YU00W7IN Laptop,7th Gen AMD Ryzen 3 7320U,8,LPDDR5,512,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,5638120
Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,11th Gen Intel Core i5 11400H ,8,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,10086012
MSI,Modern 14 C11M-031IN Laptop,11th Gen Intel Core i3 1115G4,8,DDR4,512,SSD,Integrated Intel UHD Graphics,14,1920,1080,Windows 11 OS,6390120
Infinix,Zerobook 2023 Laptop,13th Gen Intel Core i9 13900H,32,LPDDR5X,1024,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,15038120
HP,Victus 15-fa0666TX Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,12970120
Lenovo,IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,11th Gen Intel Core i5 11300H,8,DDR4,512,SSD,NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,8646120
Asus,Vivobook 16X 2022 M1603QA-MB502WS Laptop,5th Gen AMD Ryzen 5 5600H,8,DDR4,512,SSD,AMD Radeon Vega 7,16,1920,1200,Windows 11 OS,9381200
Apple,MacBook Air 2022 Laptop,Apple M2,8,DDR4,256,SSD,8-Core GPU,13.6,2560,1664,Mac OS,19738120
Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,12th Gen Intel Core i5 12450H,16,DDR4,512,SSD,NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,10338120
HP,15s-fq2510tu Laptop,11th Gen Intel Core i5 1135G7 ,16,DDR4,512,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,9321040
